-80.0,OK,Mon May 26 17:01:54 MDT 2014
-80.0,OK,Mon May 26 17:02:31 MDT 2014
-80.0,OK,Mon May 26 17:02:37 MDT 2014
-80.0,OK,Mon May 26 17:02:46 MDT 2014
-80.0,OK,Mon May 26 17:12:25 MDT 2014
-80.0,OK,Mon May 26 17:12:27 MDT 2014
-80.0,OK,Mon May 26 17:12:31 MDT 2014
-80.0,OK,Mon May 26 17:12:34 MDT 2014
-80.0,OK,Mon May 26 17:12:36 MDT 2014
-80.0,OK,Mon May 26 17:12:37 MDT 2014
-80.0,OK,Mon May 26 17:12:39 MDT 2014
-80.0,OK,Mon May 26 17:12:40 MDT 2014
-80.0,OK,Mon May 26 17:12:42 MDT 2014
-80.0,OK,Mon May 26 17:12:44 MDT 2014
-80.0,OK,Mon May 26 17:12:46 MDT 2014
-80.0,OK,Mon May 26 17:12:48 MDT 2014
